# Conservative weighted opening book generated from opening_games_100.txt
# Format: name|uci-sequence|weight
Sicilian A|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6|7
Sicilian B|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6|7
Sicilian C|e2e4 c7c5 b1c3 b8c6 g2g3|7
Slav Defense A|d2d4 d7d5 c2c4 c7c6 g1f3 g8f6|7
Slav Defense B|d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3|7
Torre Attack A|d2d4 g8f6 g1f3 e7e6 c1g5 d7d5|1
Torre Attack B|d2d4 g8f6 g1f3 d7d5 c1g5 c7c5|1
Two Knights A|e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3|9
Two Knights B|e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5|9
Vienna Game A|e2e4 e7e5 b1c3 g8f6 f2f4|3
Vienna Game B|e2e4 e7e5 b1c3 g8f6 g2g3 d7d5|3
Ruy Lopez C|e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1|9
Ruy Lopez D|e2e4 e7e5 g1f3 b8c6 f1b5 f7f5|9
Sicilian D|e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6|7
Sicilian E|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6|7
Sicilian F|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5|7
QGD C|d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5|7
QGD D|d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3|7
KID C|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8|1
KID D|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3|1
Caro-Kann D|e2e4 c7c6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7|7
French Defense D|e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7|7
English Opening C|c2c4 e7e5 g2g3 g8f6 f1g2 c7c6|5
London System C|d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 b8c6|7
