# 100 curated opening games (name|uci-sequence)
Nimzo Indian A|d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3
Nimzo Indian B|d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2
Nimzowitsch Defense A|e2e4 b8c6 d2d4 d7d5 b1c3
Nimzowitsch Defense B|e2e4 b8c6 g1f3 d7d5 e4d5 d8d5 b1c3
Petrov Defense A|e2e4 e7e5 g1f3 g8f6 f3e5 d7d6
Petrov Defense B|e2e4 e7e5 g1f3 g8f6 b1c3 b8c6
Philidor Defense A|e2e4 e7e5 g1f3 d7d6 d2d4 e5d4
Philidor Defense B|e2e4 e7e5 g1f3 d7d6 f1c4 g8f6
Pirc Defense A|e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3
Pirc Defense B|e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4
Queens Pawn Game A|d2d4 d7d5 g1f3 g8f6
Queens Pawn Game B|d2d4 g8f6 c2c4 e7e6 g1f3
QGA A|d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3
QGA B|d2d4 d7d5 c2c4 d5c4 e2e3 b7b5 a2a4
QGD A|d2d4 d7d5 c2c4 e7e6 b1c3 g8f6
QGD B|d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 c7c6
Queens Indian A|d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3
Queens Indian B|d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7
Reti Opening A|g1f3 d7d5 c2c4 e7e6 d2d4
Reti Opening B|g1f3 d7d5 c2c4 d5c4 e2e3
Ruy Lopez A|e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6
Ruy Lopez B|e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6
Scandinavian A|e2e4 d7d5 e4d5 d8d5 b1c3 d5a5
Scandinavian B|e2e4 d7d5 e4d5 g8f6 d2d4
Scotch Game A|e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4
Scotch Game B|e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5
Sicilian A|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6
Sicilian B|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6
Sicilian C|e2e4 c7c5 b1c3 b8c6 g2g3
Slav Defense A|d2d4 d7d5 c2c4 c7c6 g1f3 g8f6
Slav Defense B|d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3
Torre Attack A|d2d4 g8f6 g1f3 e7e6 c1g5 d7d5
Torre Attack B|d2d4 g8f6 g1f3 d7d5 c1g5 c7c5
Two Knights A|e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3
Two Knights B|e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5
Vienna Game A|e2e4 e7e5 b1c3 g8f6 f2f4
Vienna Game B|e2e4 e7e5 b1c3 g8f6 g2g3 d7d5
Wade Defense A|d2d4 d7d6 g1f3 c8g4 c2c4
Wade Defense B|d2d4 d7d6 g1f3 c8g4 e2e4
Ruy Lopez C|e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1
Ruy Lopez D|e2e4 e7e5 g1f3 b8c6 f1b5 f7f5
Sicilian D|e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6
Sicilian E|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6
Sicilian F|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5
QGD C|d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5
QGD D|d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3
KID C|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8
KID D|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3
Caro-Kann D|e2e4 c7c6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7
French Defense D|e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7
English Opening C|c2c4 e7e5 g2g3 g8f6 f1g2 c7c6
London System C|d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 b8c6
